요리_ID,과정_Count,요리_이름,재료1,재료2,재료3,재료1_ID,재료2_ID,재료3_ID,과정1,과정2,과정3,컷씬1,컷씬2,컷씬3
recipe0001,1,에르페 전투식량,건식 전투식량 블럭,x,x,food0001,#N/A,#N/A,찌기,x,x,,x,x
recipe0002,1,람다 팝콘,노래하는 옥수수,x,x,food0002,#N/A,#N/A,튀기기,x,x,,x,x
recipe0003,1,아인요르드 사냥꾼 식단,굽은 뿔 산양 위장 주머니,x,x,food0003,#N/A,#N/A,끓이기,x,x,,x,x
recipe0004,2,사몰레안 별파이,별바라기,밀가루 반죽,x,food0004,food0005,#N/A,굽기,굽기,x,,,x
recipe0005,1,오클리드 비스킷,비스킷 반죽,x,x,food0006,#N/A,#N/A,굽기,x,x,,x,x
recipe0006,1,카리알굴의 초석,망치새 알,x,x,food0007,#N/A,#N/A,볶기,x,x,,x,x
recipe0007,1,오브리제 XII,오브리제 XII 시약,x,x,food0008,#N/A,#N/A,끓이기,x,x,,x,x
recipe0008,2,사몰레안 감바스,마늘,화살촉새우,x,food0009,#N/A,#N/A,튀기기,튀기기,x,,,x
recipe0009,2,람다 시장의 머리,도둑문어,밀가루 반죽,x,food0011,food0005,#N/A,끓이기,굽기,x,,,x
recipe0010,3,돈코츠 라멘,큰 어금니 멧돼지 고기,와이번 뼈,면 반죽,food0024,food0013,food0014,졸이기,끓이기,튀기기,,,
recipe0011,2,토달볶,토마토,코카트리스 알,x,food0015,food0016,#N/A,볶기,볶기,x,,,x
recipe0012,3,닭고기 샌드위치,노래하는 옥수수,걸어다니는버섯,바실리크 다리살,food0002,food0017,food0018,볶기,튀기기,굽기,,,
recipe0013,3,영혼을 데우는 토마토 스프,양파,토마토,저무는 달의 잎사귀,food0019,food0015,food0031,볶기,끓이기,끓이기,,,x
recipe0014,3,비?프 스튜,곰 고기,람다 샤우팅 레드와인,토마토,food0020,food0021,food0015,볶기,끓이기,끓이기,,,
recipe0015,3,아인요르드 새우튀김 덮밥,화살촉 새우,설산 이끼,구멍풀 뿌리,food0010,food0023,food0029,끓이기,튀기기,튀기기,,,
recipe0016,3,아인요르드 돼지고기 덮밥,큰 어금니 멧돼지 고기,양파,와이번 알,food0024,food0019,food0030,끓이기,볶기,볶기,,,
recipe0017,1,코카트리스 닭발,코카트리스 발,x,x,food0025,#N/A,#N/A,볶기,x,x,,x,x
recipe0018,3,드레곤 카레,설산 와이번 고기,감자,람다 카레 블록,food0026,food0028,food0027,볶기,볶기,끓이기,,,
recipe0019,3,설산의 오믈렛,큰 어금니 멧돼지 고기,당근,와이번 알,food0024,food0012,food0030,볶기,볶기,굽기,,,
recipe0020,2,감자 없는 감자탕,설산 와이번 고기,설산 이끼,x,food0026,food0023,#N/A,끓이기,끓이기,x,,,
